date,cases,,,,"Feb 15, 2020",0
,,,,,"Feb 16, 2020",0
"Feb 15, 2020",0,1,,,"Feb 17, 2020",0
,,0,,,"Feb 18, 2020",0
"Feb 16, 2020",0,1,,,"Feb 19, 2020",0
,,0,,,"Feb 20, 2020",0
"Feb 17, 2020",0,1,,,"Feb 21, 2020",0
,,0,,,"Feb 22, 2020",0
"Feb 18, 2020",0,1,,,"Feb 23, 2020",0
,,0,,,"Feb 24, 2020",0
"Feb 19, 2020",0,1,,,"Feb 25, 2020",0
,,0,,,"Feb 26, 2020",0
"Feb 20, 2020",0,1,,,"Feb 27, 2020",0
,,0,,,"Feb 28, 2020",0
"Feb 21, 2020",0,1,,,"Feb 29, 2020",0
,,0,,,"Mar 01, 2020",0
"Feb 22, 2020",0,1,,,"Mar 02, 2020",0
,,0,,,"Mar 03, 2020",0
"Feb 23, 2020",0,1,,,"Mar 04, 2020",0
,,0,,,"Mar 05, 2020",0
"Feb 24, 2020",0,1,,,"Mar 06, 2020",0
,,0,,,"Mar 07, 2020",0
"Feb 25, 2020",0,1,,,"Mar 08, 2020",0
,,0,,,"Mar 09, 2020",0
"Feb 26, 2020",0,1,,,"Mar 10, 2020",0
,,0,,,"Mar 11, 2020",0
"Feb 27, 2020",0,1,,,"Mar 12, 2020",0
,,0,,,"Mar 13, 2020",0
"Feb 28, 2020",0,1,,,"Mar 14, 2020",0
,,0,,,"Mar 15, 2020",0
"Feb 29, 2020",0,1,,,"Mar 16, 2020",0
,,0,,,"Mar 17, 2020",0
"Mar 01, 2020",0,1,,,"Mar 18, 2020",0
,,0,,,"Mar 19, 2020",0
"Mar 02, 2020",0,1,,,"Mar 20, 2020",0
,,0,,,"Mar 21, 2020",0
"Mar 03, 2020",0,1,,,"Mar 22, 2020",0
,,0,,,"Mar 23, 2020",0
"Mar 04, 2020",0,1,,,"Mar 24, 2020",0
,,0,,,"Mar 25, 2020",0
"Mar 05, 2020",0,1,,,"Mar 26, 2020",0
,,0,,,"Mar 27, 2020",1
"Mar 06, 2020",0,1,,,"Mar 28, 2020",1
,,0,,,"Mar 29, 2020",2
"Mar 07, 2020",0,1,,,"Mar 30, 2020",3
,,0,,,"Mar 31, 2020",5
"Mar 08, 2020",0,1,,,"Apr 01, 2020",5
,,0,,,"Apr 02, 2020",5
"Mar 09, 2020",0,1,,,"Apr 03, 2020",9
,,0,,,"Apr 04, 2020",9
"Mar 10, 2020",0,1,,,"Apr 05, 2020",11
,,0,,,"Apr 06, 2020",12
"Mar 11, 2020",0,1,,,"Apr 07, 2020",13
,,0,,,"Apr 08, 2020",18
"Mar 12, 2020",0,1,,,"Apr 09, 2020",18
,,0,,,"Apr 10, 2020",24
"Mar 13, 2020",0,1,,,"Apr 11, 2020",25
,,0,,,"Apr 12, 2020",25
"Mar 14, 2020",0,1,,,"Apr 13, 2020",27
,,0,,,"Apr 14, 2020",27
"Mar 15, 2020",0,1,,,"Apr 15, 2020",34
,,0,,,"Apr 16, 2020",48
"Mar 16, 2020",0,1,,,"Apr 17, 2020",50
,,0,,,"Apr 18, 2020",52
"Mar 17, 2020",0,1,,,"Apr 19, 2020",54
,,0,,,"Apr 20, 2020",58
"Mar 18, 2020",0,1,,,"Apr 21, 2020",58
,,0,,,"Apr 22, 2020",65
"Mar 19, 2020",0,1,,,"Apr 23, 2020",75
,,0,,,"Apr 24, 2020",79
"Mar 20, 2020",0,1,,,"Apr 25, 2020",86
,,0,,,"Apr 26, 2020",87
"Mar 21, 2020",0,1,,,"Apr 27, 2020",90
,,0,,,"Apr 28, 2020",93
"Mar 22, 2020",0,1,,,"Apr 29, 2020",103
,,0,,,"Apr 30, 2020",103
"Mar 23, 2020",0,1,,,"May 01, 2020",116
,,0,,,"May 02, 2020",123
"Mar 24, 2020",0,1,,,"May 03, 2020",131
