date,cases,,,"Jan 01, 2021",29503
,,,,"Jan 02, 2021",29793
"Jan 01, 2021",29503,1,,"Jan 03, 2021",30197
,,0,,"Jan 04, 2021",30634
"Jan 02, 2021",29793,1,,"Jan 05, 2021",31150
,,0,,"Jan 06, 2021",31544
"Jan 03, 2021",30197,1,,"Jan 07, 2021",31988
,,0,,"Jan 08, 2021",32608
"Jan 04, 2021",30634,1,,"Jan 09, 2021",33009
,,0,,"Jan 10, 2021",33350
"Jan 05, 2021",31150,1,,"Jan 11, 2021",33768
,,0,,"Jan 12, 2021",34527
"Jan 06, 2021",31544,1,,"Jan 13, 2021",35338
,,0,,"Jan 14, 2021",36054
"Jan 07, 2021",31988,1,,"Jan 15, 2021",36673
,,0,,"Jan 16, 2021",37059
"Jan 08, 2021",32608,1,,"Jan 17, 2021",37314
,,0,,"Jan 18, 2021",37660
"Jan 09, 2021",33009,1,,"Jan 19, 2021",38504
,,0,,"Jan 20, 2021",39073
"Jan 10, 2021",33350,1,,"Jan 21, 2021",39724
,,0,,"Jan 22, 2021",40302
"Jan 11, 2021",33768,1,,"Jan 23, 2021",40803
,,0,,"Jan 24, 2021",41105
"Jan 12, 2021",34527,1,,"Jan 25, 2021",41349
,,0,,"Jan 26, 2021",42033
"Jan 13, 2021",35338,1,,"Jan 27, 2021",42790
,,0,,"Jan 28, 2021",43348
"Jan 14, 2021",36054,1,,"Jan 29, 2021",43879
,,0,,"Jan 30, 2021",44199
"Jan 15, 2021",36673,1,,"Jan 31, 2021",44413
,,0,,"Feb 01, 2021",44649
"Jan 16, 2021",37059,1,,"Feb 02, 2021",45199
,,0,,"Feb 03, 2021",45599
"Jan 17, 2021",37314,1,,"Feb 04, 2021",45862
,,0,,"Feb 05, 2021",46161
"Jan 18, 2021",37660,1,,"Feb 06, 2021",46441
,,0,,"Feb 07, 2021",46552
"Jan 19, 2021",38504,1,,"Feb 08, 2021",46736
,,0,,"Feb 09, 2021",47134
"Jan 20, 2021",39073,1,,"Feb 10, 2021",47412
,,0,,"Feb 11, 2021",47650
"Jan 21, 2021",39724,1,,"Feb 12, 2021",47940
,,0,,"Feb 13, 2021",48092
"Jan 22, 2021",40302,1,,"Feb 14, 2021",48170
,,0,,"Feb 15, 2021",48366
"Jan 23, 2021",40803,1,,"Feb 16, 2021",48586
,,0,,"Feb 17, 2021",48752
"Jan 24, 2021",41105,1,,"Feb 18, 2021",48983
,,0,,"Feb 19, 2021",49135
"Jan 25, 2021",41349,1,,"Feb 20, 2021",49216
,,0,,"Feb 21, 2021",49330
"Jan 26, 2021",42033,1,,"Feb 22, 2021",49428
,,0,,"Feb 23, 2021",49693
"Jan 27, 2021",42790,1,,"Feb 24, 2021",49804
,,0,,"Feb 25, 2021",49949
"Jan 28, 2021",43348,1,,"Feb 26, 2021",50067
,,0,,"Feb 27, 2021",50225
"Jan 29, 2021",43879,1,,"Feb 28, 2021",50277
,,0,,"Mar 01, 2021",50361
